Date,Level,Script,Message
2026-05-08T00:30:09.593Z,success,connection-tracker,■ connection-tracker DONE | +0 accepted | total: 0/0 (0%)
2026-05-08T00:30:09.589Z,info,connection-tracker,📋 pending invitations on page: 0
2026-05-08T00:29:54.504Z,info,connection-tracker,▶ connection-tracker started | https://www.linkedin.com/mynetwork/invitation-manager/sent/
2026-05-08T00:29:49.665Z,info,,Step 5/6 — Tracking accepted connections…
2026-05-08T00:29:49.641Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence
2026-05-08T00:29:20.594Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/diego-volpe-vieira/ | GRUPO SEB — new_job
2026-05-08T00:29:20.592Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu"""
2026-05-08T00:29:11.604Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/henrique-adametes-329325108/ | Serasa Experian — new_job
2026-05-08T00:29:11.602Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu"""
2026-05-08T00:29:01.601Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/kaio-andrade-694632186/ | PX Ativos Judiciais — new_job
2026-05-08T00:29:01.599Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu"""
2026-05-08T00:28:52.597Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/luanmedeirosrogerio/ | FCO OFFSHORE Treinamentos e Serviços — new_job
2026-05-08T00:28:52.595Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu"""
2026-05-08T00:28:43.598Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/neesha-champ/ | NASA Jet Propulsion Laboratory — new_job
2026-05-08T00:28:43.596Z,warn,,"[Diag] no msg btn | card btns: """" aria=""Open reactions menu"""
2026-05-08T00:28:34.600Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/thframos/en/ | VEROT — new_job
2026-05-08T00:28:34.598Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria="""" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"" | """" aria=""Open reactions menu"""
2026-05-08T00:28:28.770Z,warn,,[relationship-builder] content script did not respond after 15 retries — skipping
2026-05-08T00:28:24.010Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/job_changes/
2026-05-08T00:28:19.606Z,info,,■ relationship-builder done | 0 touched
2026-05-08T00:28:19.604Z,warn,,"[Diag] 0 cards found | page:anniversary title:""Catch up | LinkedIn"" | btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"""
2026-05-08T00:27:48.287Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/work_anniversaries/
2026-05-08T00:27:43.635Z,warn,,[relationship-builder] timed out after 90 s — continuing sequence
2026-05-08T00:27:04.598Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/renatokayatt/en/ | today — birthday
2026-05-08T00:27:04.596Z,warn,,[Diag] no msg btn | card btns: (none)
2026-05-08T00:26:54.596Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/leandrobrunhara/ | today — birthday
2026-05-08T00:26:54.594Z,warn,,[Diag] no msg btn | card btns: (none)
2026-05-08T00:26:44.599Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/ricardo-d-8b459620/ | today — birthday
2026-05-08T00:26:44.597Z,warn,,[Diag] no msg btn | card btns: (none)
2026-05-08T00:26:34.597Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/borges2carlos/ | today — birthday
2026-05-08T00:26:34.595Z,warn,,[Diag] no msg btn | card btns: (none)
2026-05-08T00:26:25.606Z,warn,,[Diag] sendMessage failed | https://www.linkedin.com/in/rodrigo-fernandes-98093b14/ | today — birthday
2026-05-08T00:26:25.605Z,warn,,"[Diag] no msg btn | card btns: ""Skip to main content"" aria="""" | """" aria=""Close jump menu"" | ""Home"" aria=""Home, 1 new notification"" | ""Me"" aria="""" | ""For Business"" aria=""For Business"" | """" aria=""Dismiss"" | ""Why am I seeing this ad?Manage"" aria=""Why am I seeing this ad?"" | ""Hide or report this adI don’t "" aria=""Hide or report this ad"" | """" aria=""Dismiss"" | ""Report this ad"" aria="""" | ""Submit"" aria="""""
2026-05-08T00:26:17.612Z,info,,▶ relationship-builder started | https://www.linkedin.com/mynetwork/catch-up/birthday/
2026-05-08T00:26:13.625Z,info,,Step 4/6 — Building relationships (birthdays + anniversaries + job changes)…
