Category,Date,Type,Name,Detail,URL
Log,2026-05-04T20:53:02.430Z,success,post-engager,■ post-engager DONE | likes=0/8 comments=0/4 follows=0/6 linksFound=0,
Log,2026-05-04T20:53:02.427Z,info,post-engager,↓ scroll round 8/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:58.450Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.446Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.444Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.441Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.439Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.433Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.431Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.427Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:58.421Z,info,post-engager,↓ scroll round 7/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:53.452Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.450Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.448Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.446Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.443Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.440Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.438Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.433Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:53.428Z,info,post-engager,↓ scroll round 6/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:48.448Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.446Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.444Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.442Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.440Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.438Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.435Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.433Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:48.426Z,info,post-engager,↓ scroll round 5/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:44.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.434Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.433Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.431Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.429Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.427Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.426Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.424Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.422Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:44.417Z,info,post-engager,↓ scroll round 4/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:39.636Z,warn,,[recruiter-prospector] content script did not respond after 15 retries — skipping,
Log,2026-05-04T20:52:39.451Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.449Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.448Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.445Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.443Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.442Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.440Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.438Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:39.429Z,info,post-engager,↓ scroll round 3/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:32.449Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.447Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.446Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.444Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.443Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.441Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.438Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.434Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:32.430Z,info,post-engager,↓ scroll round 2/8 | likes=0 comments=0 follows=0,
Log,2026-05-04T20:52:26.439Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:26.438Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:26.436Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:26.435Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:26.434Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:26.433Z,info,post-engager,⚠ post with no id found — skipped,
Log,2026-05-04T20:52:26.431Z,info,post-engager,⚠ post with no id found — skipped,
